               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063711,            0.041537,            0.035207,             0.62921,             0.45072,             0.40816,             0.24992,            0.038877,            0.015767,            0.024251,            0.070119,           0.0033202,           0.0033202
                   1,            0.042718,            0.025772,            0.022837,             0.41727,             0.56405,             0.48574,             0.30145,            0.041531,            0.016198,            0.022422,            0.039891,           0.0064264,           0.0064264
                   2,            0.037427,            0.022343,            0.018319,             0.70734,              0.6625,             0.73061,             0.53994,            0.030175,            0.012241,            0.016599,           0.0094367,            0.009305,            0.009305
                   3,            0.032478,            0.022005,            0.017169,             0.74936,              0.7106,             0.75596,             0.53825,            0.028844,            0.012332,            0.016094,           0.0089759,           0.0089759,           0.0089759
                   4,            0.029031,            0.020467,            0.014988,             0.78559,             0.75184,             0.80703,             0.62724,            0.026168,            0.011086,            0.014352,           0.0089759,           0.0089759,           0.0089759
                   5,            0.026343,            0.018904,            0.013499,             0.81625,             0.74434,             0.82011,             0.65074,            0.025357,            0.010707,            0.013401,           0.0086345,           0.0086345,           0.0086345
                   6,            0.024486,            0.018227,            0.012803,             0.82512,             0.80102,             0.85393,             0.68914,            0.023687,             0.01027,            0.013616,           0.0082931,           0.0082931,           0.0082931
                   7,             0.02302,            0.016708,             0.01164,             0.83677,             0.81677,             0.85469,             0.70905,            0.022515,           0.0098274,            0.012797,           0.0079517,           0.0079517,           0.0079517
                   8,            0.021876,            0.016172,             0.01029,             0.85511,             0.78133,             0.86101,             0.69721,            0.022534,           0.0091412,            0.012238,           0.0076103,           0.0076103,           0.0076103
                   9,            0.021034,            0.015702,           0.0096744,             0.80535,              0.7769,             0.84224,             0.69338,            0.023093,            0.010182,            0.015158,            0.007269,            0.007269,            0.007269
                  10,            0.020537,            0.015034,           0.0098359,             0.83865,             0.83048,             0.87456,             0.74081,            0.021605,           0.0092286,            0.012208,           0.0069276,           0.0069276,           0.0069276
                  11,            0.019774,            0.014614,           0.0093541,             0.86101,              0.8204,             0.88175,              0.7552,            0.021125,           0.0087824,            0.011641,           0.0065862,           0.0065862,           0.0065862
                  12,            0.018758,            0.014162,           0.0084874,             0.86548,             0.83921,             0.89116,             0.77165,            0.021804,            0.008798,            0.010617,           0.0062448,           0.0062448,           0.0062448
                  13,              0.0182,            0.013255,           0.0079905,             0.89711,              0.8402,             0.89346,             0.78031,            0.019761,           0.0083433,            0.010845,           0.0059034,           0.0059034,           0.0059034
                  14,            0.017275,            0.012831,            0.007741,             0.87045,             0.81883,             0.88815,             0.77318,            0.019276,           0.0088392,            0.010168,           0.0055621,           0.0055621,           0.0055621
                  15,               0.017,            0.012672,           0.0076597,             0.88017,             0.85666,             0.91164,             0.80492,            0.019032,           0.0081663,            0.011549,           0.0052207,           0.0052207,           0.0052207
                  16,            0.016656,            0.012519,           0.0075376,             0.87757,              0.8415,             0.90098,             0.80054,            0.019379,            0.008132,            0.010766,           0.0048793,           0.0048793,           0.0048793
                  17,            0.015691,            0.012056,           0.0068651,             0.88992,             0.86036,             0.90324,             0.80247,            0.018587,           0.0082625,            0.011017,           0.0045379,           0.0045379,           0.0045379
                  18,            0.015268,            0.011501,           0.0063816,             0.86616,             0.86346,             0.89993,             0.80991,             0.01831,           0.0080526,             0.01258,           0.0041966,           0.0041966,           0.0041966
                  19,            0.014958,            0.011237,           0.0064466,             0.89192,             0.85304,             0.90503,             0.81453,            0.018319,           0.0079145,           0.0090995,           0.0038552,           0.0038552,           0.0038552
                  20,            0.014348,            0.010697,           0.0063595,             0.88959,             0.84915,             0.90019,             0.80939,            0.018332,            0.007836,            0.011078,           0.0035138,           0.0035138,           0.0035138
                  21,            0.013681,            0.010582,           0.0053408,             0.89856,             0.85217,             0.91081,             0.82163,            0.017741,           0.0076862,            0.010254,           0.0031724,           0.0031724,           0.0031724
                  22,            0.013507,            0.010085,           0.0054583,             0.91204,             0.85178,             0.91571,              0.8288,            0.017055,           0.0076937,            0.010833,            0.002831,            0.002831,            0.002831
                  23,            0.012913,           0.0097249,           0.0052281,             0.89461,             0.87348,             0.91716,             0.83111,            0.016521,           0.0074032,            0.011388,           0.0024897,           0.0024897,           0.0024897
                  24,            0.012576,            0.009407,           0.0052052,             0.90287,             0.87381,              0.9195,              0.8376,            0.017084,           0.0073337,            0.010884,           0.0021483,           0.0021483,           0.0021483
                  25,            0.011734,           0.0091671,           0.0048866,             0.92087,             0.86913,              0.9124,             0.83021,            0.016295,            0.007408,            0.011616,           0.0018069,           0.0018069,           0.0018069
                  26,            0.011184,           0.0085518,           0.0044404,             0.91639,               0.874,             0.91806,             0.84164,            0.016053,            0.007253,            0.010795,           0.0014655,           0.0014655,           0.0014655
                  27,            0.011211,           0.0084199,           0.0046215,             0.91593,             0.87465,              0.9226,             0.84669,            0.016012,            0.007123,           0.0098066,           0.0011241,           0.0011241,           0.0011241
                  28,            0.010481,           0.0080846,           0.0043254,             0.91126,             0.87673,             0.91984,             0.84745,            0.015947,           0.0072111,            0.010725,          0.00078276,          0.00078276,          0.00078276
