               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078021,            0.029666,                   0,             0.20731,             0.48125,             0.21872,             0.09114,            0.063963,            0.019842,                   0,            0.070366,           0.0032927,           0.0032927
                   1,            0.053992,             0.02552,                   0,             0.48957,             0.49688,             0.43948,             0.18581,            0.054943,            0.014451,                   0,            0.040147,           0.0064074,           0.0064074
                   2,            0.050073,              0.0221,                   0,             0.53163,             0.64375,             0.53885,             0.23624,            0.046781,            0.013062,                   0,           0.0097085,            0.009302,            0.009302
                   3,            0.044384,            0.019729,                   0,             0.70536,             0.66875,             0.66452,             0.28518,            0.045265,            0.012144,                   0,             0.00901,             0.00901,             0.00901
                   4,             0.03985,            0.018176,                   0,             0.73917,                0.65,             0.70116,             0.32034,            0.044602,            0.012095,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.035919,             0.01744,                   0,             0.71337,             0.66888,             0.67625,             0.33145,            0.043652,             0.01237,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.034187,             0.01642,                   0,             0.77699,             0.70312,             0.74007,              0.3645,            0.043642,            0.011353,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.032716,            0.015938,                   0,             0.79246,              0.7375,             0.75515,             0.37516,            0.040392,            0.011591,                   0,             0.00802,             0.00802,             0.00802
                   8,             0.03107,            0.015156,                   0,             0.82065,             0.71497,             0.75907,             0.36785,            0.041282,            0.011982,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.029132,            0.015274,                   0,             0.81177,             0.71429,             0.74704,             0.38112,            0.040736,            0.012235,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.028446,            0.014632,                   0,             0.78002,             0.67594,             0.71762,             0.39019,            0.040145,            0.012425,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.027531,             0.01426,                   0,             0.79634,             0.74062,             0.74906,             0.40008,            0.040415,            0.011785,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.026928,             0.01381,                   0,             0.80039,             0.71562,             0.75516,             0.39496,            0.039366,            0.011905,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.025549,            0.013431,                   0,             0.79748,             0.73832,             0.75546,             0.39284,             0.04002,            0.012153,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.024884,            0.012618,                   0,             0.81719,             0.65657,             0.67407,             0.34521,            0.041989,            0.014181,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.023307,             0.01271,                   0,             0.85046,             0.72188,             0.78127,             0.38989,            0.040526,            0.012479,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.023065,            0.012509,                   0,              0.8357,             0.75938,             0.78643,             0.41296,            0.038632,            0.012072,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.021723,            0.011746,                   0,             0.82443,              0.7484,             0.77193,             0.42501,            0.038666,            0.012132,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.020863,            0.011768,                   0,             0.79308,             0.72813,             0.73587,             0.39207,            0.039985,            0.013348,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.020375,            0.011385,                   0,             0.78438,             0.76165,             0.77087,             0.41569,            0.038777,            0.012671,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.019222,            0.010719,                   0,             0.82429,             0.73125,             0.77433,              0.4085,            0.039594,            0.013452,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.018701,            0.010579,                   0,             0.78442,             0.70499,             0.71649,              0.3665,            0.040633,            0.014113,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.017905,             0.01005,                   0,             0.81154,                0.75,             0.76378,              0.4067,             0.03942,            0.013485,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.01741,           0.0099067,                   0,              0.8105,             0.76562,             0.77828,             0.41119,            0.039547,            0.013417,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.016256,           0.0098753,                   0,              0.8112,             0.75625,             0.77302,             0.41695,            0.039372,            0.013788,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.015996,           0.0095852,                   0,             0.84722,             0.74515,             0.77968,             0.43026,            0.038718,             0.01386,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.015045,           0.0089635,                   0,              0.8129,             0.74674,             0.76774,             0.43136,            0.039028,            0.014044,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.014471,           0.0089512,                   0,             0.79409,             0.76562,             0.77458,             0.42868,            0.039124,            0.014286,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.013979,           0.0087246,                   0,             0.79795,             0.77812,             0.77564,              0.4226,            0.038987,            0.014424,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.013962,           0.0085668,                   0,             0.80357,             0.76875,             0.77451,             0.43374,            0.039029,            0.014411,                   0,             0.00076,             0.00076,             0.00076
